FID,Shape *,type,idschool,district,name,dcode,address,x,y
82,Point,2,3110013707,สวนหลวง,โรงเรียนคลองกลันตัน,1034,646 ซ.อ่อนนุช 25 แขวงสวนหลวง เขตสวนหลวง,677378.925,1518820.916
83,Point,1,3110023703,สวนหลวง,โรงเรียนวัดทองใน,1034,412 ซ.สุขุมวิท 77 เขตสวนหลวง,675450.876,1516467.921
84,Point,3,3110023708,สวนหลวง,โรงเรียนมัธยมนาคนาวาอุปถัมภ์,1034,96/1 ถ.พัฒนาการ แขวงสวนหลวง เขตสวนหลวง,674413.443,1518617.14
85,Point,3,3110014501,วัฒนา,โรงเรียนวัดธาตุทอง,1039,1325 ถ.สุขุมวิท แขวงพระโขนง เขตวัฒนา,671569.162,1517285.665
86,Point,2,3110014504,วัฒนา,โรงเรียนสุเหร่าบางมะเขือ,1039,ถ.สุขุมวิท 71 แขวงพระโขนง เขตวัฒนา,672683.563,1516822.394
87,Point,2,3110014505,วัฒนา,โรงเรียนสุเหร่าสามอิน,1039,780 ถ.สุขุมวิท 71 แขวงคลองตัน เขตวัฒนา,672595.702,1518205.928
88,Point,2,3110014506,วัฒนา,โรงเรียนวัดภาษี,1039,ถ.สุขุมวิท 63 แขวงคลองตันเหนือ เขตวัฒนา,671777.65,1519726.982
89,Point,2,3110014507,วัฒนา,โรงเรียนแจ่มจันทร์,1039,4/44 ถ.เอกชัย แขวงคลองตัน เขตวัฒนา,671670.327,1519445.201
90,Point,2,3110014508,วัฒนา,โรงเรียนสวัสดีวิทยา,1039,35/10 ถ.สุขุมวิท 31 แขวงคลองตัน เขตวัฒนา,669351.31,1519499.809
91,Point,3,3110024502,วัฒนา,โรงเรียนวิจิตรวิทยา,1039,170 ซ.นวลน้อย แขวงคลองตัน เขตวัฒนา,672319.015,1519563.261
92,Point,2,3110024503,วัฒนา,โรงเรียนสุเหร่าบ้านดอน,1039,84 ถ.สุขุมวิท 49-14 แขวงคลองตันเหนือ เขตวัฒนา,670858.244,1519880.305
93,Point,3,3110014701,บางนา,โรงเรียนวัดบางนาใน,1047,200 ถ.สุขุมวิท แขวงบางนา เขตบางนา,673501.19,1511933.606
94,Point,2,3110014702,บางนา,โรงเรียนวัดบางนานอก,1047,ถ.สรรพาวุธ แขวงบางนา เขตบางนา,671741.875,1512483.798
95,Point,3,3110014703,บางนา,โรงเรียนผ่องพลอยอนุสรณ์,1047,3/1 หมู่ 7 ซ.ศรีพงษ์ แขวงบางนา เขตบางนา,676297.444,1510874.799
96,Point,3,3110014705,บางนา,โรงเรียนรุ่งเรืองอุปถัมภ์,1047,122 ถ.สุขุมวิท แขวงบางนา เขตบางนา,674295.922,1512588.085
97,Point,2,3110014706,บางนา,โรงเรียนอำนวยกนกศิริอนุสรณ์,1047,1007/7 หมู่ 12 ซ.อุดมสุข 26 แขวงบางนา เขตบางนา,675117.442,1512398.05
98,Point,3,3110024704,บางนา,โรงเรียนศรีเอี่ยมอนุสรณ์,1047,หมู่ 11 ถ.บางนา-ตราด แขวงบางนา เขตบางนา,677787.593,1511584.106
99,Point,3,3110024707,บางนา,โรงเรียนเพี้ยนพินอนุสรณ์,1047,27/799 แขวงบางนา เขตบางนา,672826.403,1511188.006
100,Point,3,3110011602,บางเขน,โรงเรียนบ้านคลองบัว,1005,112 หมู่ 6 ถ.รามอินทรา แขวงท่าแร้ง เขตบางเขน,677306.947,1533331.353
101,Point,2,3110011603,บางเขน,โรงเรียนบ้านบัวมล,1005,59/1 หมู่ ถ.สุขาภิบาล 5 แขวงท่าแร้ง เขตบางเขน,678918.762,1535168.737
102,Point,3,3110011604,บางเขน,โรงเรียนประชาภิบาล,1005,11/15 หมู่ 3 แขวงอนุสาวรีย์ เขตบางเขน,672572.988,1534261.748
103,Point,2,3110011605,บางเขน,โรงเรียนวัดไตรรัตนาราม,1005,3/1 ซ.วัดไทรรัตนาราม แขวงอนุสาวรีย์ เขตบางเขน,674893.611,1531724.421
104,Point,3,3110021601,บางเขน,โรงเรียนไทยนิยมสงเคราะห์,1005,79 หมู่ 3 ถ.พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน,672706.436,1534740.503
105,Point,3,3110011701,ดอนเมือง,โรงเรียนวัดดอนเมือง (ทหารอากาศอุทิศ),1036,1/4 หมู่ 10 แขวงสีกัน เขตดอนเมือง,672981.883,1539625.335
106,Point,3,3110011702,ดอนเมือง,โรงเรียนพหลโยธิน,1036,9 ซ.วิภาวดีรังสิต 45 แขวงสีกัน เขตดอนเมือง,674512.182,1542736.295
107,Point,2,3110011705,ดอนเมือง,โรงเรียนเปรมประชา,1036,209 ซ.เปรมประชา แขวงตลาดบางเขน เขตดอนเมือง,673497.916,1542528.706
108,Point,3,3110021703,ดอนเมือง,โรงเรียนวัดเวฬุวนาราม,1036,69 หมู่ 5 แขวงสีกัน เขตดอนเมือง,669203.502,1538837.184
109,Point,3,3110021704,ดอนเมือง,โรงเรียนประชาอุทิศ (จันทาบอนุสรณ์),1036,16/1 หมู่ 4 ถ.สรงประภา แขวงสีกัน เขตดอนเมือง,671126.491,1539777.739
